Organism ID in the KineticTable;Organism Name - representative
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
4;Mus musculus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
5;Thermus thermophilus
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
6;Escherichia coli
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
7;Homo sapiens
